@relation dataset_accelerometer

@attribute id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric
@attribute tag {OTHER,POCKET}

@data
11352,-0.545878,-10.01734,0,382065071505735,OTHER
11353,-0.517148,-9.969456,0.02873,382065091585910,OTHER
11354,-0.440533,-9.950302,-0.076614,382065111666085,OTHER
11355,-0.574608,-9.988609,-0.038307,382065131746259,OTHER
11356,-0.47884,-9.979033,-0.02873,382065151826434,OTHER
11357,-0.469264,-9.979033,-0.105345,382065171906609,OTHER
11358,-0.517148,-9.988609,-0.134075,382065191986784,OTHER
11359,-0.536301,-10.01734,-0.124498,382065212036442,OTHER
11360,-0.536301,-9.988609,-0.086191,382065232116616,OTHER
11361,-0.45011,-9.979033,-0.067038,382065252196791,OTHER
11362,-0.440533,-10.0748,-0.038307,382065272276966,OTHER
11363,-0.517148,-9.979033,-0.019154,382065292357141,OTHER
11364,-0.565032,-9.998186,-0.009577,382065312437315,OTHER
11365,-0.584185,-9.988609,-0.095768,382065332517490,OTHER
11366,-0.497994,-10.036493,-0.009577,382065352597665,OTHER
11367,-0.517148,-9.998186,0,382065372677840,OTHER
11368,-0.593762,-10.007763,-0.02873,382065392758015,OTHER
11369,-0.497994,-10.01734,-0.076614,382065412838189,OTHER
11370,-0.526724,-10.055647,-0.038307,382065432918364,OTHER
11371,-0.469264,-9.950302,-0.019154,382065452998539,OTHER
11372,-0.507571,-9.969456,0,382065473078714,OTHER
11373,-0.497994,-9.979033,-0.009577,382065493158889,OTHER
11374,-0.440533,-10.084377,0,382065513239063,OTHER
11375,-0.411803,-9.998186,0.038307,382065533319238,OTHER
11376,-0.45011,-9.988609,0.009577,382065553399413,OTHER
11377,-0.440533,-10.065224,0.009577,382065573479587,OTHER
11378,-0.526724,-9.988609,0.038307,382065593559763,OTHER
11379,-0.565032,-10.036493,0.067038,382065613639937,OTHER
11380,-0.526724,-10.01734,0.02873,382065633720113,OTHER
11381,-0.555455,-10.007763,0.019154,382065653800287,OTHER
11382,-0.565032,-9.979033,0.105345,382065673849945,OTHER
11383,-0.507571,-10.026917,0.038307,382065693930119,OTHER
11384,-0.517148,-9.988609,0.019154,382065714010295,OTHER
11385,-0.47884,-10.026917,0.057461,382065734090469,OTHER
